"","x"
"1","asyl"
"2","asylant"
"3","asylanten"
"4","asylantinnen"
"5","asylbewerber"
"6","asylbewerberin"
"7","asylbewerberinnen"
"8","auslander"
"9","auslanderinnen"
"10","einwanderer"
"11","einwandererin"
"12","einwandererinnen"
"13","einwandernde"
"14","einwanderung"
"15","fluchtling"
"16","fluchtende"
"17","fluchtlinge"
"18","migration"
"19","immigration"
"20","schutzsuchende"
"21","schutzbedurftige"
"22","visa"
"23","visum"
"24","zuwanderung"
"25","zuwanderer"
"26","zuwandernde"
"27","flüchtlinge"
"28","asylrecht"
"29","militärmission"
"30","syrern"
